Ticker,Start,End,Alpha,Beta
MMM,2009-01-01,2009-06-01,1.012107606549069,0.9403890849459026
MMM,2009-06-01,2010-01-01,23.761503295563404,0.963574413808375
MMM,2010-01-01,2010-06-01,-0.15705760749497522,0.8391920387215427
MMM,2010-06-01,2011-01-01,-4.245761293626547,0.9261398485447838
MMM,2011-01-01,2011-06-01,3.1242626424196693,1.0416581987046671
MMM,2011-06-01,2012-01-01,-4.7604590170213585,1.0660878531179154
MMM,2012-01-01,2012-06-01,0.518522969227089,0.8132123999399554
MMM,2012-06-01,2013-01-01,2.3298287555315795,0.9660836613161955
MMM,2013-01-01,2013-06-01,8.40124670531858,0.8092941419822298
MMM,2013-06-01,2014-01-01,15.725364430299113,0.9780258298544443
MMM,2014-01-01,2014-06-01,-0.5381434995411807,1.0108646180053893
MMM,2014-06-01,2015-01-01,9.507714739829936,1.0439710681990093
MMM,2015-01-01,2015-06-01,-4.714854994269739,1.0919274303128932
MMM,2015-06-01,2016-01-01,-1.3630398816524227,0.8144269182840139
MMM,2016-01-01,2016-06-01,13.202312453937383,0.7491596497497154
MMM,2016-06-01,2017-01-01,1.5304321612787044,0.8444624796072854
MMM,2017-01-01,2017-06-01,11.050160481395977,0.6414419747833997
MMM,2017-06-01,2018-01-01,8.840716310343549,0.7257087673266445
MMM,2018-01-01,2018-06-01,-15.594949280004,1.2353965270478096
MMM,2018-06-01,2019-01-01,5.354219886074217,1.025076748216059
MMM,2019-01-01,2019-06-01,-25.77360972191353,1.1494573037012918
MMM,2019-06-01,2020-01-01,-9.049356598302118,1.2220080674461753
MMM,2020-01-01,2020-06-01,-6.8988677880721525,0.826660992111382
MMM,2020-06-01,2021-01-01,-3.198819389405278,0.764617054528521
MMM,2021-01-01,2021-06-01,18.11318894607995,0.1427661104419009
MMM,2021-06-01,2022-01-01,-21.39506559973022,0.7583202877310408
MMM,2022-01-01,2022-06-01,-8.639579229209996,0.5291299227151358
MMM,2022-06-01,2023-01-01,-11.864245932604819,0.7972156146729436
MMM,2023-01-01,2023-06-01,-32.38493377635743,1.2159297371937963
MMM,2023-06-01,2024-01-01,5.465668923037239,1.1383877887626717
MMM,2024-01-01,2024-06-01,3.8448666170423778,0.39328460695136896
MMM,2024-06-01,2024-12-24,16.10067929746167,0.8847956451240616
AOS,2009-01-01,2009-06-01,3.634081468087888,1.0462805158009199
AOS,2009-06-01,2010-01-01,18.528516874694173,1.234737563242528
AOS,2010-01-01,2010-06-01,7.7821115749511245,0.9963555750308944
AOS,2010-06-01,2011-01-01,6.930862583258371,1.1600493704353623
AOS,2011-01-01,2011-06-01,1.1724289053473553,1.3318624152866796
AOS,2011-06-01,2012-01-01,6.809631412158783,1.325660016921124
AOS,2012-01-01,2012-06-01,8.82287875220671,1.5495496697810702
AOS,2012-06-01,2013-01-01,29.469625252592905,1.1159904571816057
AOS,2013-01-01,2013-06-01,5.174700716328331,1.4718034005166696
AOS,2013-06-01,2014-01-01,23.915949500251074,1.1828730567703658
AOS,2014-01-01,2014-06-01,-12.257780244578917,1.0945852795456132
AOS,2014-06-01,2015-01-01,6.416105221651375,1.0896171039047813
AOS,2015-01-01,2015-06-01,27.17863053284697,0.6973657209111249
AOS,2015-06-01,2016-01-01,11.181230227014707,1.2229583017022083
AOS,2016-01-01,2016-06-01,4.3912666171415795,1.4324125124332996
AOS,2016-06-01,2017-01-01,6.705922754299085,1.3268111473861395
AOS,2017-01-01,2017-06-01,5.95021907103869,1.487969519403165
AOS,2017-06-01,2018-01-01,-1.3068515586663896,1.311602114151072
AOS,2018-01-01,2018-06-01,2.4577716247523096,1.205130237768619
AOS,2018-06-01,2019-01-01,-25.31193309049485,0.8665686642943872
AOS,2019-01-01,2019-06-01,-17.209115464056566,1.2102002640101124
AOS,2019-06-01,2020-01-01,-1.007540127595238,0.9813867776564983
AOS,2020-01-01,2020-06-01,4.129807041743694,0.6741045570915944
AOS,2020-06-01,2021-01-01,-0.8312328839368845,0.7754100766352754
AOS,2021-01-01,2021-06-01,20.399901417042997,0.9929063758380056
AOS,2021-06-01,2022-01-01,4.883204548874364,1.1999911276380384
AOS,2022-01-01,2022-06-01,-15.724313041380158,0.7935258803332473
AOS,2022-06-01,2023-01-01,2.2572423763176257,1.0183221839523597
AOS,2023-01-01,2023-06-01,-0.6365561899194478,1.163478337116501
AOS,2023-06-01,2024-01-01,16.215428413472505,0.9441816137104426
AOS,2024-01-01,2024-06-01,-7.946964326113238,1.0293332044705579
AOS,2024-06-01,2024-12-24,-24.354654769350745,0.6447663156815107
ABT,2009-01-01,2009-06-01,-15.177279071363092,0.3501471662721729
ABT,2009-06-01,2010-01-01,15.871174783633574,0.33559778210921165
ABT,2010-01-01,2010-06-01,-9.746326682550938,0.5028440235016879
ABT,2010-06-01,2011-01-01,-5.4519999172879885,0.529994831030301
ABT,2011-01-01,2011-06-01,9.296436698929966,0.37903829308162557
ABT,2011-06-01,2012-01-01,12.706981717836435,0.5601450961443849
ABT,2012-01-01,2012-06-01,8.463930003306722,0.5411446333928838
ABT,2012-06-01,2013-01-01,2.6737560784776475,0.6179671146751556
ABT,2013-01-01,2013-06-01,7.331756871453521,0.6926857381694119
ABT,2013-06-01,2014-01-01,-11.453501400940885,1.2203207595481558
ABT,2014-01-01,2014-06-01,1.835115051463183,0.8047513927565753
ABT,2014-06-01,2015-01-01,7.619341036172719,0.9638561838385558
ABT,2015-01-01,2015-06-01,7.435631556415756,1.0383545718332743
ABT,2015-06-01,2016-01-01,-3.4761968008338036,1.1722486217575065
ABT,2016-01-01,2016-06-01,-11.197466987455591,1.0118284402205597
ABT,2016-06-01,2017-01-01,-9.408314613376136,1.1951889587845477
ABT,2017-01-01,2017-06-01,13.089141625715357,0.8295342255633756
ABT,2017-06-01,2018-01-01,15.278244633151548,0.9763003026555689
ABT,2018-01-01,2018-06-01,5.755196905263156,1.0623928923047525
ABT,2018-06-01,2019-01-01,25.929573365761215,1.0672508321143641
ABT,2019-01-01,2019-06-01,0.6059692713656695,1.0341711390021289
ABT,2019-06-01,2020-01-01,-3.2435704328201247,1.0716844282748632
ABT,2020-01-01,2020-06-01,13.252680043529285,0.8788366745531583
ABT,2020-06-01,2021-01-01,1.484652742897346,0.7442438716929015
ABT,2021-01-01,2021-06-01,-10.712570076449818,0.6202258893974123
ABT,2021-06-01,2022-01-01,27.944385797074453,0.4529730707513243
ABT,2022-01-01,2022-06-01,-4.57803480062465,0.8377015329599239
ABT,2022-06-01,2023-01-01,1.0382206385335015,0.831808523490289
ABT,2023-01-01,2023-06-01,-14.124903434993918,0.7238724287442959
ABT,2023-06-01,2024-01-01,-0.2638156056639076,0.40847616821619576
ABT,2024-01-01,2024-06-01,-13.82348698395256,0.4183876102581563
ABT,2024-06-01,2024-12-24,4.956764782454861,0.02674460085619969
ABBV,2013-01-01,2013-06-01,13.163540558703815,0.9534039382276552
ABBV,2013-06-01,2014-01-01,8.011936768080837,1.2639377115176076
ABBV,2014-01-01,2014-06-01,-0.8039280533124566,1.422642125844007
ABBV,2014-06-01,2015-01-01,13.569495796771989,1.3098928044073495
ABBV,2015-01-01,2015-06-01,0.18135823409242136,1.1581320257844083
ABBV,2015-06-01,2016-01-01,-6.710531294348879,1.026950355164201
ABBV,2016-01-01,2016-06-01,7.541808047705892,0.8555817765886532
ABBV,2016-06-01,2017-01-01,-5.213073871458123,1.0057055442330598
ABBV,2017-01-01,2017-06-01,3.473736970695045,0.7010379463914284
ABBV,2017-06-01,2018-01-01,37.36207967001333,0.9898516383604555
